MNG,SII - Covishield,Covishield,Serum Institute of India
MNP,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
MNP,Moderna - mRNA-1273,mRNA-1273,Moderna
MNP,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
MOZ,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
MOZ,SII - Covishield,Covishield,Serum Institute of India
MRT,SII - Covishield,Covishield,Serum Institute of India
MRT,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
MSR,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
MTQ,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
MUS,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
MUS,Bharat - Covaxin,Covaxin,Bharat Biotech
MUS,SII - Covishield,Covishield,Serum Institute of India
MWI,SII - Covishield,Covishield,Serum Institute of India
MYS,Sinovac - CoronaVac,Coronavac,Sinovac
MYS,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
MYS,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
MYS,CanSino - Ad5-nCOV,Ad5-nCOV,CanSino Biologicals
MYS,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
NAM,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
NAM,SII - Covishield,Covishield,Serum Institute of India
NCL,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
NER,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
NER,SII - Covishield,Covishield,Serum Institute of India
NGA,SII - Covishield,Covishield,Serum Institute of India
NIC,SII - Covishield,Covishield,Serum Institute of India
NIC,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
NIU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
NLD,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
NLD,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
NLD,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
NLD,Moderna - mRNA-1273,mRNA-1273,Moderna
NOR,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
NOR,Moderna - mRNA-1273,mRNA-1273,Moderna
NOR,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
NOR,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
NPL,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
NPL,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
NPL,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
NPL,Bharat - Covaxin,Covaxin,Bharat Biotech
NPL,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
NPL,SII - Covishield,Covishield,Serum Institute of India
NRU,SII - Covishield,Covishield,Serum Institute of India
NRU,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
NZL,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
NZL,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
NZL,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
NZL,Novavax - Covavax,Covavax,Novavax
OMN,Sinovac - CoronaVac,Coronavac,Sinovac
OMN,SII - Covishield,Covishield,Serum Institute of India
OMN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
OMN,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
OMN,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
PAK,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
PAK,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
PAK,CanSino - Ad5-nCOV,Ad5-nCOV,CanSino Biologicals
PAK,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
PAK,Moderna - mRNA-1273,mRNA-1273,Moderna
PAK,Bharat - Covaxin,Covaxin,Bharat Biotech
PAK,Sinovac - CoronaVac,Coronavac,Sinovac
PAK,SII - Covishield,Covishield,Serum Institute of India
PAN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
PAN,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
PCN,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
PER,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
PER,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
PER,Wuhan CNBG - Inactivated,Inactivated SARS-CoV-2 vaccine,Wuhan Institute of Biological Products (CNBG)
PER,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
PHL,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
PHL,Moderna - mRNA-1273,mRNA-1273,Moderna
PHL,Bharat - Covaxin,Covaxin,Bharat Biotech
PHL,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
PHL,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
PHL,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
PHL,Novavax - Covavax,Covavax,Novavax
PHL,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
PHL,Sinovac - CoronaVac,Coronavac,Sinovac
PLW,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
PLW,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
PLW,Moderna - mRNA-1273,mRNA-1273,Moderna
